schemaVersion,runId,time,agent,position,x,y,target,action,actionSource,pathLength,stepDistance,totalDisplacement,moveUsePosition,moveX,moveY,clearTarget,clearUseTarget,clearX,clearY,clearRequestTarget,moveRequestTarget,moveCount,clearCount,restCount,otherActionCount,targetChangeCount,samePositionStreak,maxSamePositionStreak,possibleStuck,stuckStatus,failedMoveStreak,confirmedStuckEvents,clearModuleCalls,clearNullResults,clearActionResults,clearMoveResults,clearRestResults,moveModuleCalls,moveNullResults,moveActionResults,moveRestResults,fallbackRestCount,clearCalcUs,moveCalcUs
"URF_POLICE_OBS_V2","20260912-173002",1,3973022,40631,1278321.0,697864.0,44689,"MOVE","MOVE_MODULE",15,0.0,0.0,false,0,0,,false,0,0,44689,44689,1,0,0,0,1,0,0,false,"MOVE_PENDING",0,0,1,1,0,0,0,1,0,1,0,0,26.69,454.189
"URF_POLICE_OBS_V2","20260912-173002",2,3973022,40631,1278321.0,697864.0,44689,"MOVE","MOVE_MODULE",15,0.0,0.0,false,0,0,,false,0,0,44689,44689,2,0,0,0,1,1,1,false,"MOVE_PENDING",1,0,2,2,0,0,0,2,0,2,0,0,80.892,169.267
"URF_POLICE_OBS_V2","20260912-173002",3,3973022,40631,1278321.0,697864.0,44689,"MOVE","MOVE_MODULE",15,0.0,0.0,false,0,0,,false,0,0,44689,44689,3,0,0,0,1,2,2,true,"POSSIBLE_STUCK",2,0,3,3,0,0,0,3,0,3,0,0,16.42,427.7
"URF_POLICE_OBS_V2","20260912-173002",4,3973022,39781,1249562.0,664181.0,44689,"MOVE","MOVE_MODULE",14,44290.23108993675,44290.23108993675,false,0,0,,false,0,0,44689,44689,4,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,4,4,0,0,0,4,0,4,0,0,21.4,434.944
"URF_POLICE_OBS_V2","20260912-173002",5,3973022,39780,1217835.0,627859.0,44689,"MOVE","MOVE_MODULE",11,48227.484000308374,92517.71509024512,false,0,0,,false,0,0,44689,44689,5,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,5,5,0,0,0,5,0,5,0,0,8.736,66.965
"URF_POLICE_OBS_V2","20260912-173002",6,3973022,39780,1186046.0,591591.0,44689,"MOVE","MOVE_MODULE",11,48227.671984038374,140745.3870742835,false,0,0,,false,0,0,44689,44689,6,0,0,0,1,1,2,false,"MOVE_PENDING",0,0,6,6,0,0,0,6,0,6,0,0,17.602,50.525
"URF_POLICE_OBS_V2","20260912-173002",7,3973022,39651,1153511.0,558692.0,44689,"MOVE","MOVE_MODULE",9,46269.54101782294,187014.92809210645,false,0,0,,false,0,0,44689,44689,7,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,7,7,0,0,0,7,0,7,0,0,13.996,67.666
"URF_POLICE_OBS_V2","20260912-173002",8,3973022,39651,1110665.0,578477.0,44689,"MOVE","MOVE_MODULE",9,47193.49468941668,234208.42278152314,false,0,0,,false,0,0,44689,44689,8,0,0,0,1,1,2,false,"MOVE_PENDING",0,0,8,8,0,0,0,8,0,8,0,0,4.508,27.933
"URF_POLICE_OBS_V2","20260912-173002",9,3973022,39651,1066926.0,598795.0,44689,"MOVE","MOVE_MODULE",9,48227.80572449881,282436.22850602196,false,0,0,,false,0,0,44689,44689,9,0,0,0,1,2,2,false,"MOVE_PENDING",0,0,9,9,0,0,0,9,0,9,0,0,10.309,33.503
"URF_POLICE_OBS_V2","20260912-173002",10,3973022,39650,1023067.0,618851.0,44689,"MOVE","MOVE_MODULE",7,48227.119103259734,330663.3476092817,false,0,0,,false,0,0,44689,44689,10,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,10,10,0,0,0,10,0,10,0,0,10.088,33.192
"URF_POLICE_OBS_V2","20260912-173002",11,3973022,39798,1017028.0,645889.0,44689,"MOVE","MOVE_MODULE",5,27704.20482526073,358367.55243454245,false,0,0,,false,0,0,44689,44689,11,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,11,11,0,0,0,11,0,11,0,0,16.24,28.343
"URF_POLICE_OBS_V2","20260912-173002",12,3973022,39797,1044409.0,685560.0,44689,"MOVE","MOVE_MODULE",3,48202.77379985513,406570.3262343976,false,0,0,,false,0,0,44689,44689,12,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,12,12,0,0,0,12,0,12,0,0,15.67,5.731
"URF_POLICE_OBS_V2","20260912-173002",13,3973022,39797,1065611.0,728861.0,44689,"MOVE","MOVE_MODULE",3,48213.08333844663,454783.4095728442,false,0,0,,false,0,0,44689,44689,13,0,0,0,1,1,2,false,"MOVE_PENDING",0,0,13,13,0,0,0,13,0,13,0,0,9.498,8.826
"URF_POLICE_OBS_V2","20260912-173002",14,3973022,44689,1093184.0,759868.0,44689,"CLEAR","CLEAR_MODULE",0,41493.42572022705,496276.8352930713,false,0,0,2146958318,true,0,0,44689,44689,13,1,0,0,1,0,2,false,"CLEARING",0,0,14,13,1,0,0,13,0,13,0,0,51.256,8.826
"URF_POLICE_OBS_V2","20260912-173002",15,3973022,44689,1093184.0,759868.0,44689,"CLEAR","CLEAR_MODULE",0,0.0,496276.8352930713,false,0,0,2146958318,true,0,0,44689,44689,13,2,0,0,1,1,2,false,"CLEARING",0,0,15,13,2,0,0,13,0,13,0,0,29.916,8.826
