schemaVersion,runId,time,agent,position,x,y,target,action,actionSource,pathLength,stepDistance,totalDisplacement,moveUsePosition,moveX,moveY,clearTarget,clearUseTarget,clearX,clearY,clearRequestTarget,moveRequestTarget,moveCount,clearCount,restCount,otherActionCount,targetChangeCount,samePositionStreak,maxSamePositionStreak,possibleStuck,stuckStatus,failedMoveStreak,confirmedStuckEvents,clearModuleCalls,clearNullResults,clearActionResults,clearMoveResults,clearRestResults,moveModuleCalls,moveNullResults,moveActionResults,moveRestResults,fallbackRestCount,clearCalcUs,moveCalcUs
"URF_POLICE_OBS_V2","20260912-173002",1,1842846455,42163,816870.0,787805.0,44689,"MOVE","MOVE_MODULE",10,0.0,0.0,false,0,0,,false,0,0,44689,44689,1,0,0,0,1,0,0,false,"MOVE_PENDING",0,0,1,1,0,0,0,1,0,1,0,0,2.715,337.992
"URF_POLICE_OBS_V2","20260912-173002",2,1842846455,42163,816870.0,787805.0,44689,"CLEAR","CLEAR_MODULE",0,0.0,0.0,false,0,0,2146957998,true,0,0,44689,44689,1,1,0,0,1,1,1,false,"CLEARING",1,0,2,1,1,0,0,1,0,1,0,0,40.205,337.992
"URF_POLICE_OBS_V2","20260912-173002",3,1842846455,42163,816870.0,787805.0,44689,"CLEAR","CLEAR_MODULE",0,0.0,0.0,false,0,0,2146957998,true,0,0,44689,44689,1,2,0,0,1,2,2,false,"CLEARING",0,0,3,1,2,0,0,1,0,1,0,0,42.109,337.992
"URF_POLICE_OBS_V2","20260912-173002",4,1842846455,42163,816870.0,787805.0,44689,"MOVE","MOVE_MODULE",10,0.0,0.0,false,0,0,,false,0,0,44689,44689,2,2,0,0,1,3,3,false,"MOVE_PENDING",0,0,4,2,2,0,0,2,0,2,0,0,8.727,104.626
"URF_POLICE_OBS_V2","20260912-173002",5,1842846455,39695,850006.0,776819.0,44689,"CLEAR","CLEAR_MODULE",0,34909.69338163829,34909.69338163829,false,0,0,2146958432,true,0,0,44689,44689,2,3,0,0,1,0,3,false,"CLEARING",0,0,5,2,3,0,0,2,0,2,0,0,114.564,104.626
"URF_POLICE_OBS_V2","20260912-173002",6,1842846455,39695,850006.0,776819.0,44689,"MOVE","MOVE_MODULE",7,0.0,34909.69338163829,false,0,0,,false,0,0,44689,44689,3,3,0,0,1,1,3,false,"MOVE_PENDING",0,0,6,3,3,0,0,3,0,3,0,0,41.518,87.133
"URF_POLICE_OBS_V2","20260912-173002",7,1842846455,39695,868118.0,768822.0,44689,"CLEAR","CLEAR_MODULE",0,19798.90282313644,54708.59620477473,false,0,0,2146958433,true,0,0,44689,44689,3,4,0,0,1,2,3,false,"CLEARING",0,0,7,3,4,0,0,3,0,3,0,0,96.01,87.133
"URF_POLICE_OBS_V2","20260912-173002",8,1842846455,39695,868118.0,768822.0,44689,"CLEAR","CLEAR_MODULE",0,0.0,54708.59620477473,false,0,0,2146958433,true,0,0,44689,44689,3,5,0,0,1,3,3,false,"CLEARING",0,0,8,3,5,0,0,3,0,3,0,0,100.398,87.133
"URF_POLICE_OBS_V2","20260912-173002",9,1842846455,39695,868118.0,768822.0,44689,"CLEAR","CLEAR_MODULE",0,0.0,54708.59620477473,false,0,0,2146958433,true,0,0,44689,44689,3,6,0,0,1,4,4,false,"CLEARING",0,0,9,3,6,0,0,3,0,3,0,0,35.196,87.133
"URF_POLICE_OBS_V2","20260912-173002",10,1842846455,39695,868118.0,768822.0,44689,"CLEAR","CLEAR_MODULE",0,0.0,54708.59620477473,false,0,0,2146958433,true,0,0,44689,44689,3,7,0,0,1,5,5,false,"CLEARING",0,0,10,3,7,0,0,3,0,3,0,0,96.019,87.133
